Stima di pigreco in:     100000 lanci
Valore           Errore %      Tempo          
3.13872861862  0.0911         0.0074 s
3.13716864586  0.1407         0.0074 s
3.13740873337  0.1331         0.0073 s
3.14100861549  0.0185         0.0073 s
3.14428853989  0.0859         0.0073 s
3.14464855194  0.0974         0.0073 s
3.14664864540  0.1610         0.0073 s
3.14932847023  0.2463         0.0073 s
3.13688874245  0.1496         0.0073 s
3.13992857933  0.0529         0.0073 s
3.14736843109  0.1839         0.0073 s
3.15204858780  0.3329         0.0072 s
3.13572859764  0.1866         0.0073 s
3.14328861237  0.0541         0.0073 s
3.13848853111  0.0987         0.0073 s
3.13936853409  0.0707         0.0073 s
3.13828849792  0.1051         0.0073 s
3.13660860062  0.1586         0.0073 s
3.15232849121  0.3418         0.0072 s
3.14472866058  0.0999         0.0073 s
3.14696860313  0.1712         0.0073 s
3.14144849777  0.0045         0.0073 s
3.15468835831  0.4169         0.0072 s
3.14504861832  0.1101         0.0074 s
3.13652873039  0.1611         0.0073 s
3.13940858841  0.0694         0.0073 s
3.14512848854  0.1126         0.0073 s
3.13236856461  0.2935         0.0073 s
3.13880872726  0.0885         0.0073 s
3.13396859169  0.2426         0.0073 s
3.14308857918  0.0477         0.0073 s
3.14936852455  0.2476         0.0073 s
3.13508868217  0.2069         0.0073 s
3.14612865448  0.1445         0.0073 s
3.14928841591  0.2450         0.0072 s
3.13396859169  0.2426         0.0074 s
3.13592863083  0.1802         0.0074 s
3.14268851280  0.0350         0.0073 s
3.13436865807  0.2299         0.0073 s
3.14272856712  0.0362         0.0073 s
3.14588856697  0.1368         0.0073 s
3.14644861221  0.1547         0.0073 s
3.15292835236  0.3609         0.0072 s
3.14008855820  0.0478         0.0073 s
3.13924860954  0.0745         0.0073 s
3.13428854942  0.2324         0.0073 s
3.14256858826  0.0311         0.0073 s
3.13916850090  0.0771         0.0073 s
3.14280867577  0.0388         0.0073 s
3.13884854317  0.0873         0.0073 s
3.13868856430  0.0924         0.0073 s
3.14028859138  0.0414         0.0073 s
3.14104866982  0.0172         0.0073 s
3.14524865150  0.1165         0.0073 s
3.13828849792  0.1051         0.0073 s
3.15004849434  0.2692         0.0073 s
3.14728856087  0.1814         0.0073 s
3.15024852753  0.2756         0.0073 s
3.15248847008  0.3469         0.0073 s
3.14212846756  0.0171         0.0073 s
3.13668870926  0.1560         0.0073 s
3.14288854599  0.0413         0.0073 s
3.15124845505  0.3074         0.0073 s
3.13824868202  0.1064         0.0073 s
3.15084838867  0.2947         0.0073 s
3.14460849762  0.0961         0.0074 s
3.14128851891  0.0096         0.0073 s
3.14384865761  0.0719         0.0074 s
3.14508843422  0.1114         0.0074 s
3.13796854019  0.1153         0.0074 s
3.14408850670  0.0795         0.0074 s
3.14160847664  0.0006         0.0074 s
3.14216852188  0.0184         0.0073 s
3.13772869110  0.1229         0.0074 s
3.14380860329  0.0706         0.0074 s
3.14744853973  0.1865         0.0073 s
3.13812851906  0.1102         0.0073 s
3.14140868187  0.0058         0.0073 s
3.14220857620  0.0197         0.0073 s
3.14172863960  0.0044         0.0073 s
3.14392852783  0.0744         0.0073 s
3.14688849449  0.1687         0.0073 s
3.14740848541  0.1852         0.0073 s
3.14120864868  0.0121         0.0073 s
3.14228868484  0.0222         0.0073 s
3.13620853424  0.1713         0.0073 s
3.13992857933  0.0529         0.0073 s
3.14188861847  0.0095         0.0073 s
3.14276862144  0.0375         0.0073 s
3.14092850685  0.0211         0.0072 s
3.15016841888  0.2731         0.0073 s
3.14596843719  0.1394         0.0073 s
3.13568854332  0.1879         0.0073 s
3.14028859138  0.0414         0.0073 s
3.13860869408  0.0949         0.0074 s
3.14852857590  0.2209         0.0073 s
3.13556861877  0.1917         0.0073 s
3.14364862442  0.0655         0.0073 s
3.14132857323  0.0083         0.0073 s
3.14076852798  0.0262         0.0073 s
3.14208865166  0.0159         0.0073 s
3.13768863678  0.1242         0.0073 s
3.13704872131  0.1446         0.0073 s
3.13556861877  0.1917         0.0073 s
3.13136863708  0.3254         0.0074 s
3.13700866699  0.1458         0.0073 s
3.14844846725  0.2183         0.0073 s
3.14904856682  0.2374         0.0073 s
3.13332867622  0.2630         0.0072 s
3.13940858841  0.0694         0.0072 s
3.13500857353  0.2095         0.0072 s
3.13640856743  0.1649         0.0072 s
3.13700866699  0.1458         0.0072 s
3.13576865196  0.1853         0.0072 s
3.13596868515  0.1789         0.0073 s
3.13168859482  0.3152         0.0073 s
3.13824868202  0.1064         0.0073 s
3.14600849152  0.1406         0.0073 s
3.14160847664  0.0006         0.0073 s
3.15052843094  0.2845         0.0073 s
3.15196847916  0.3304         0.0074 s
3.13828849792  0.1051         0.0074 s
3.15192842484  0.3291         0.0074 s
3.14084863663  0.0236         0.0073 s
3.14228868484  0.0222         0.0073 s
3.14160847664  0.0006         0.0073 s
3.14792847633  0.2018         0.0073 s
3.14348864555  0.0604         0.0073 s
3.13288855553  0.2770         0.0073 s
3.14148855209  0.0032         0.0072 s
3.13984870911  0.0554         0.0073 s
3.13504862785  0.2082         0.0073 s
3.14756846428  0.1903         0.0073 s
3.13776850700  0.1216         0.0073 s
3.14496850967  0.1075         0.0073 s
3.14072847366  0.0274         0.0074 s
3.15212845802  0.3354         0.0073 s
3.14100861549  0.0185         0.0073 s
3.14644861221  0.1547         0.0073 s
3.14316844940  0.0502         0.0073 s
3.14464855194  0.0974         0.0073 s
3.14264845848  0.0337         0.0073 s
3.15328836441  0.3724         0.0072 s
3.13680863380  0.1522         0.0073 s
3.13912868500  0.0783         0.0072 s
3.14116859436  0.0134         0.0072 s
3.13912868500  0.0783         0.0073 s
3.13520860672  0.2031         0.0073 s
3.13976860046  0.0580         0.0073 s
3.13892865181  0.0847         0.0073 s
Tempo impiegato:    1.0941759348 secondi
